,NLDAS_ID,sw_irrigation_vol,WRM_SUPPLY_acreft_OG,sw_avail_bias_corr,RIVER_DISCHARGE_OVER_LAND_LIQ_OG
79,x100y179,0.0,0.0,0.0,0.3733387
80,x100y180,0.15096484237043592,0.15088134851538262,8.349385505329598e-05,0.64618886
81,x100y181,0.2808497662603814,0.28069443124685206,0.000155335013529323,0.0695106
82,x100y182,0.0,0.0,0.0,26.012201
83,x100y183,0.05681195320964752,0.0567805298061985,3.142340344901989e-05,5.341966
84,x100y184,0.0,0.0,0.0,5.2599745
85,x100y185,51.947961355087116,51.91923450359008,0.02872685149703358,0.053354263
86,x100y186,1636.101384614777,1635.196643053343,0.9047415614340935,1.9299084
87,x100y187,1194.2809593783961,1193.6205101306364,0.6604492477597432,3.5532606
88,x100y188,0.4589304871090521,0.458676678949507,0.00025380815954512137,15.684755
89,x100y189,1855.959554216101,1854.9331574843127,1.0263967317882816,0.011518939
